Date,Regular pay (real),CPIH,Private sector,Public sector,Public - Private Difference 
2022-01-01,-0.6,4.9,4.2,2.4,1.8
2022-02-01,-1.2,5.5,4.6,2.1,2.5
2022-03-01,-1.9,6.2,4.9,1.8,3.1
2022-04-01,-3.5,7.8,4.8,1.7,3.1
2022-05-01,-2.6,7.9,5.1,1.8,3.3
2022-06-01,-2.8,8.2,5.5,1.8,3.7
2022-07-01,-3,8.8,6,2,4
2022-08-01,-2.6,8.6,6.3,2.2,4.1
2022-09-01,-2.5,8.8,6.6,2.2,4.4
2022-10-01,-2.9,9.6,6.9,2.7,4.2
