Date,Measure,Value
2022-08-01,sum_mean_weighted,2.837510543
2022-09-01,sum_mean_weighted,2.892169722
2022-10-01,sum_mean_weighted,2.895188777
2022-11-01,sum_mean_weighted,2.968088518
2006-01-01,sum_75_weighted,2.09981
2006-02-01,sum_75_weighted,2.115595
2006-03-01,sum_75_weighted,2.131165
2006-04-01,sum_75_weighted,2.1310825
2006-05-01,sum_75_weighted,2.150825
2006-06-01,sum_75_weighted,2.138265
2006-07-01,sum_75_weighted,2.150355
2006-08-01,sum_75_weighted,2.209215
2006-09-01,sum_75_weighted,2.178865
2006-10-01,sum_75_weighted,2.181115
2006-11-01,sum_75_weighted,2.209815
2006-12-01,sum_75_weighted,2.193295
2007-01-01,sum_75_weighted,2.216175
2007-02-01,sum_75_weighted,2.217565
2007-03-01,sum_75_weighted,2.215665
2007-04-01,sum_75_weighted,2.270515
2007-05-01,sum_75_weighted,2.236815
2007-06-01,sum_75_weighted,2.225065
2007-07-01,sum_75_weighted,2.232315
2007-08-01,sum_75_weighted,2.262965
2007-09-01,sum_75_weighted,2.261765
2007-10-01,sum_75_weighted,2.31208
2007-11-01,sum_75_weighted,2.32930242
2007-12-01,sum_75_weighted,2.325065
2008-01-01,sum_75_weighted,2.347265
2008-02-01,sum_75_weighted,2.32342508
2008-03-01,sum_75_weighted,2.354025
2008-04-01,sum_75_weighted,2.38242492
2008-05-01,sum_75_weighted,2.475395
2008-06-01,sum_75_weighted,2.502145
2008-07-01,sum_75_weighted,2.566745
2008-08-01,sum_75_weighted,2.532795
2008-09-01,sum_75_weighted,2.569295
2008-10-01,sum_75_weighted,2.608945
2008-11-01,sum_75_weighted,2.628345
2008-12-01,sum_75_weighted,2.645145
2009-01-01,sum_75_weighted,2.6617075
2009-02-01,sum_75_weighted,2.665195
2009-03-01,sum_75_weighted,2.6651575
2009-04-01,sum_75_weighted,2.703945
2009-05-01,sum_75_weighted,2.70325
2009-06-01,sum_75_weighted,2.69228
2009-07-01,sum_75_weighted,2.692105
2009-08-01,sum_75_weighted,2.689005
2009-09-01,sum_75_weighted,2.669205
2009-10-01,sum_75_weighted,2.70173
2009-11-01,sum_75_weighted,2.67708
2009-12-01,sum_75_weighted,2.704205
2010-01-01,sum_75_weighted,2.70301
2010-02-01,sum_75_weighted,2.70008
2010-03-01,sum_75_weighted,2.74928
2010-04-01,sum_75_weighted,2.75298
2010-05-01,sum_75_weighted,2.69358
2010-06-01,sum_75_weighted,2.69388
2010-07-01,sum_75_weighted,2.73388
2010-08-01,sum_75_weighted,2.73108
2010-09-01,sum_75_weighted,2.73888
2010-10-01,sum_75_weighted,2.74748
2010-11-01,sum_75_weighted,2.74488
2010-12-01,sum_75_weighted,2.78648
2011-01-01,sum_75_weighted,2.746
2011-02-01,sum_75_weighted,2.81114
2011-03-01,sum_75_weighted,2.77554
2011-04-01,sum_75_weighted,2.80654
2011-05-01,sum_75_weighted,2.78138
2011-06-01,sum_75_weighted,2.76918
2011-07-01,sum_75_weighted,2.777625
2011-08-01,sum_75_weighted,2.7964
2011-09-01,sum_75_weighted,2.817075
2011-10-01,sum_75_weighted,2.819695
2011-11-01,sum_75_weighted,2.793645
2011-12-01,sum_75_weighted,2.800495
2012-01-01,sum_75_weighted,2.813855
2012-02-01,sum_75_weighted,2.858045
2012-03-01,sum_75_weighted,2.83057
2012-04-01,sum_75_weighted,2.814495
2012-05-01,sum_75_weighted,2.826045
2012-06-01,sum_75_weighted,2.800245
2012-07-01,sum_75_weighted,2.816955
2012-08-01,sum_75_weighted,2.833415
2012-09-01,sum_75_weighted,2.853555
2012-10-01,sum_75_weighted,2.811395
2012-11-01,sum_75_weighted,2.852545
2012-12-01,sum_75_weighted,2.878525
2013-01-01,sum_75_weighted,2.880495
2013-02-01,sum_75_weighted,2.867765
2013-03-01,sum_75_weighted,2.903485
2013-04-01,sum_75_weighted,2.932495
2013-05-01,sum_75_weighted,2.954575
2013-06-01,sum_75_weighted,2.902675
2013-07-01,sum_75_weighted,2.907675
2013-08-01,sum_75_weighted,2.84995
2013-09-01,sum_75_weighted,2.874075
2013-10-01,sum_75_weighted,2.875075
2013-11-01,sum_75_weighted,2.890275
2013-12-01,sum_75_weighted,2.885675
2014-01-01,sum_75_weighted,2.952675
2014-02-01,sum_75_weighted,2.96775
2014-03-01,sum_75_weighted,2.9479
2014-04-01,sum_75_weighted,2.906175
2014-05-01,sum_75_weighted,2.845045
2014-06-01,sum_75_weighted,2.833595
2014-07-01,sum_75_weighted,2.841145
2014-08-01,sum_75_weighted,2.804845
2014-09-01,sum_75_weighted,2.8774
2014-10-01,sum_75_weighted,2.919895
2014-11-01,sum_75_weighted,2.8504825
2014-12-01,sum_75_weighted,2.889395
2015-01-01,sum_75_weighted,2.86997
2015-02-01,sum_75_weighted,2.832195
2015-03-01,sum_75_weighted,2.887195
2015-04-01,sum_75_weighted,2.909795
2015-05-01,sum_75_weighted,2.902495
2015-06-01,sum_75_weighted,2.89682
2015-07-01,sum_75_weighted,2.831795
2015-08-01,sum_75_weighted,2.80742
2015-09-01,sum_75_weighted,2.84212
2015-10-01,sum_75_weighted,2.85762
2015-11-01,sum_75_weighted,2.856595
2015-12-01,sum_75_weighted,2.835695
2016-01-01,sum_75_weighted,2.856695
2016-02-01,sum_75_weighted,2.799595
2016-03-01,sum_75_weighted,2.7447
2016-04-01,sum_75_weighted,2.755925
2016-05-01,sum_75_weighted,2.744425
2016-06-01,sum_75_weighted,2.71369
2016-07-01,sum_75_weighted,2.722065
2016-08-01,sum_75_weighted,2.705465
2016-09-01,sum_75_weighted,2.729365
2016-10-01,sum_75_weighted,2.74957
2016-11-01,sum_75_weighted,2.781765
2016-12-01,sum_75_weighted,2.79619
2017-01-01,sum_75_weighted,2.80259
2017-02-01,sum_75_weighted,2.86089
2017-03-01,sum_75_weighted,2.82944
2017-04-01,sum_75_weighted,2.85730008
2017-05-01,sum_75_weighted,2.81659
2017-06-01,sum_75_weighted,2.85379
2017-07-01,sum_75_weighted,2.83945
2017-08-01,sum_75_weighted,2.81439
2017-09-01,sum_75_weighted,2.8338
2017-10-01,sum_75_weighted,2.84679
2017-11-01,sum_75_weighted,2.867425
2017-12-01,sum_75_weighted,2.912325
2018-01-01,sum_75_weighted,2.92655
2018-02-01,sum_75_weighted,2.85639
2018-03-01,sum_75_weighted,2.84299
2018-04-01,sum_75_weighted,2.8505
2018-05-01,sum_75_weighted,2.873175
2018-06-01,sum_75_weighted,2.8725
2018-07-01,sum_75_weighted,2.8814
2018-08-01,sum_75_weighted,2.84789
2018-09-01,sum_75_weighted,2.90006
2018-10-01,sum_75_weighted,2.904965
2018-11-01,sum_75_weighted,2.8645
2018-12-01,sum_75_weighted,2.8575
