YEAR,STATE,Renewables 
1996,NC,6.720657593
1996,ND,10.21969045
1996,NE,5.899040511
1996,NH,17.64784895
1996,NJ,2.736907529
1996,NM,0.733963966
1996,NV,14.53905661
1996,NY,23.3614047
1996,OH,0.682805334
1996,OK,4.633337718
1996,OR,89.09299253
1996,PA,2.833969701
1996,RI,1.355019588
1996,SC,5.829251501
1996,SD,79.25146882
1996,TN,13.07457382
1996,TX,0.731735728
1996,US-TOTAL,12.28033178
1996,UT,3.765702338
1996,VA,5.603602487
1996,VT,28.924123
1996,WA,84.1125065
1996,WI,7.020696211
1996,WV,1.633382998
1996,WY,2.970189812
1997,AK,18.62795289
1997,AL,12.43496321
1997,AR,11.28903429
1997,AZ,15.38919406
1997,CA,36.36589386
1997,CO,5.484135365
1997,CT,14.38922214
1997,DC,0
1997,DE,0
1997,FL,3.681673526
1997,GA,7.149672945
1997,HI,9.532287192
1997,IA,2.565635786
1997,ID,97.16373266
1997,IL,0.576464827
1997,IN,0.597625322
1997,KS,0.036608441
1997,KY,3.706677236
1997,LA,5.040628088
1997,MA,7.067738948
1997,MD,4.992513392
1997,ME,69.9426404
1997,MI,4.095923074
1997,MN,5.109278278
1997,MO,2.306650507
1997,MS,4.814606464
1997,MT,47.06631831
1997,NC,6.306154043
1997,ND,11.13375608
1997,NE,5.938335775
1997,NH,17.04531479
1997,NJ,2.853576856
1997,NM,0.8423463
1997,NV,15.47443389
1997,NY,23.65923177
1997,OH,0.76491872
1997,OK,5.963124946
1997,OR,90.21134587
1997,PA,2.475920511
1997,RI,1.454027231
1997,SC,5.607349864
1997,SD,72.39053196
1997,TN,12.01610844
1997,TX,0.990924339
1997,US-TOTAL,12.4173746
1997,UT,4.357771841
1997,VA,5.086417589
1997,VT,24.68732716
1997,WA,86.31300777
1997,WI,7.170320198
1997,WV,1.244163632
1997,WY,3.334285448
1998,AK,19.12677383
1998,AL,12.33498488
1998,AR,10.32563434
1998,AZ,13.36278626
1998,CA,37.55090659
1998,CO,3.839043199
1998,CT,12.74339191
1998,DC,0
1998,DE,0
1998,FL,2.987853715
1998,GA,7.255177006
1998,HI,8.620413876
1998,IA,2.610927486
1998,ID,96.62504827
1998,IL,0.552369494
1998,IN,0.513127756
1998,KS,0.027473698
1998,KY,3.443930186
1998,LA,4.389030635
1998,MA,6.752606886
1998,MD,4.93638908
1998,ME,65.99355449
1998,MI,4.139408711
1998,MN,4.797416713
1998,MO,3.23920065
1998,MS,4.175618767
1998,MT,39.21955672
1998,NC,6.064032224
1998,ND,7.4904658
1998,NE,5.904918364
1998,NH,16.85391743
1998,NJ,2.47223453
1998,NM,0.759861018
1998,NV,15.36386211
1998,NY,22.07719863
1998,OH,0.680658113
1998,OK,6.631458652
1998,OR,79.1620041
1998,PA,2.639548581
1998,RI,1.561415444
1998,SC,5.929883014
1998,SD,63.34697255
1998,TN,11.71979314
1998,TX,0.80320377
1998,US-TOTAL,11.06053545
1998,UT,4.106795713
1998,VA,5.376576402
1998,VT,31.2451719
1998,WA,79.43188051
1998,WI,5.404132563
1998,WV,1.170349511
1998,WY,2.964602343
1999,AK,14.07384786
1999,AL,9.992375277
1999,AR,9.150875503
1999,AZ,11.63813532
1999,CA,33.64482871
1999,CO,4.033919644
1999,CT,8.839906342
1999,DC,0
1999,DE,0
1999,FL,3.06783504
1999,GA,5.0825028
1999,HI,8.831742939
1999,IA,3.513162294
1999,ID,96.78033294
1999,IL,0.512784611
1999,IN,0.437690784
1999,KS,0.029396084
1999,KY,2.771825759
1999,LA,4.071681814
1999,MA,7.418627033
1999,MD,4.275384443
1999,ME,58.25225153
1999,MI,4.047090792
1999,MN,5.95282351
1999,MO,2.593664682
1999,MS,4.123886224
1999,MT,44.1511841
1999,NC,4.534593686
1999,ND,8.322530669
1999,NE,5.773377615
1999,NH,15.67879593
1999,NJ,2.433927351
1999,NM,0.780161501
1999,NV,13.89546966
1999,NY,18.86106212
1999,OH,0.745737923
1999,OK,6.083120682
1999,OR,81.33435085
1999,PA,2.418485725
1999,RI,1.885592658
1999,SC,3.462193889
1999,SD,63.24984297
1999,TN,9.141098882
1999,TX,0.735838368
1999,US-TOTAL,10.7978232
1999,UT,3.857157398
1999,VA,4.571166719
1999,VT,28.07382995
1999,WA,83.97859732
1999,WI,5.402282048
1999,WV,0.982394653
1999,WY,2.707557998
2000,AK,16.27247514
2000,AL,7.952870833
2000,AR,9.035782987
2000,AZ,9.397549947
2000,CA,29.23717851
2000,CO,3.333659681
2000,CT,8.127523503
2000,DC,0
2000,DE,0.314624704
2000,FL,3.011802883
2000,GA,4.508970493
2000,HI,8.692796828
2000,IA,3.578045453
2000,ID,96.13373711
2000,IL,0.589491373
2000,IN,0.561853168
2000,KS,0.034211069
2000,KY,2.512589418
2000,LA,3.580163965
2000,MA,8.429342682
2000,MD,4.987799485
2000,ME,52.76701998
2000,MI,4.142874792
2000,MN,5.786238424
2000,MO,0.891419098
2000,MS,4.467163423
2000,MT,36.55770029
2000,NC,4.016690957
2000,ND,6.804390353
2000,NE,5.212109724
2000,NH,16.85708125
2000,NJ,2.372979079
2000,NM,0.674904076
2000,NV,10.70950572
2000,NY,20.12749144
2000,OH,0.825464034
2000,OK,4.363927655
2000,OR,74.95463359
2000,PA,2.489337739
2000,RI,2.011305282
2000,SC,3.163730002
2000,SD,58.93894375
2000,TN,7.508310014
2000,TX,0.688186027
2000,US-TOTAL,9.375821209
2000,UT,2.477740901
2000,VA,3.700098861
2000,VT,25.08104853
2000,WA,75.53289969
2000,WI,5.263332526
2000,WV,1.254867594
2000,WY,2.762866013
2001,AK,19.96829368
2001,AL,10.00896301
2001,AR,8.60367009
2001,AZ,8.52284906
2001,CA,23.75242915
2001,CO,3.42934536
2001,CT,3.920208841
2001,DC,0
2001,DE,0
2001,FL,2.06209532
2001,GA,4.732363892
2001,HI,5.616164554
2001,IA,3.533739748
2001,ID,82.98395165
2001,IL,0.458911733
2001,IN,0.559087728
2001,KS,0.146136667
2001,KY,4.050678226
2001,LA,3.909813252
2001,MA,5.237458468
2001,MD,3.172561684
2001,ME,33.0738932
2001,MI,3.508037553
2001,MN,5.788425938
2001,MO,1.399126001
2001,MS,2.679536145
2001,MT,27.56175853
2001,NC,3.699700883
2001,ND,4.416912238
2001,NE,3.750720186
2001,NH,13.37479462
2001,NJ,1.450043301
2001,NM,0.761557536
2001,NV,10.96232946
2001,NY,17.29152851
2001,OH,0.661980907
2001,OK,4.66137853
2001,OR,65.44468951
2001,PA,1.803978786
2001,RI,1.423094334
2001,SC,2.377322883
2001,SD,46.38366715
2001,TN,8.073575625
2001,TX,0.90753046
2001,US-TOTAL,7.70021754
2001,UT,1.859339678
2001,VA,3.726206485
2001,VT,23.1133592
2001,WA,67.37642719
2001,WI,5.374863152
2001,WV,1.182195401
2001,WY,2.778818865
2002,AK,21.44874083
2002,AL,9.457280798
2002,AR,10.54593892
2002,AZ,7.947362793
2002,CA,29.61163825
2002,CO,3.021568589
2002,CT,3.693353491
2002,DC,0
2002,DE,0
2002,FL,1.929599437
2002,GA,7.190734112
2002,HI,3.995397438
2002,IA,4.617036471
2002,ID,94.79603058
2002,IL,0.453235755
2002,IN,0.41973076
2002,KS,1.015979632
2002,KY,4.766445356
2002,LA,3.897950325
2002,MA,5.109039922
2002,MD,4.520839334
2002,ME,30.22573785
2002,MI,3.299081449
2002,MN,4.918285501
2002,MO,1.682594894
