quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,itemName
201901,220319,5.648062,6,5.5,4.9,372,2019-01-01,01/01/2019,125531,2019,1,1,Chinese
201901,220318,7.444545,8.46,6.95,6.45,372,2019-01-01,01/01/2019,125531,2019,1,1,Indian
201901,220301,6.335308,6.95,6.375,5.6,372,2019-01-01,01/01/2019,125531,2019,1,1,Fish and Chips
201902,220301,6.251923,6.9,6.3,5.5,373,2019-02-01,01/02/2019,124018,2019,2,1,Fish and Chips
201902,220316,8.351818,9.99,8,5.9,373,2019-02-01,01/02/2019,124018,2019,2,1,Pizza
201902,220319,5.636585,6,5.5,4.9,373,2019-02-01,01/02/2019,124018,2019,2,1,Chinese
201902,220318,7.600081,8.46,7.15,6.5,373,2019-02-01,01/02/2019,124018,2019,2,1,Indian
201903,220301,6.288258,6.9,6.375,5.5,374,2019-03-01,01/03/2019,127885,2019,3,1,Fish and Chips
201903,220316,8.191923,9.99,7.99,5.9,374,2019-03-01,01/03/2019,127885,2019,3,1,Pizza
201903,220319,5.653799,6,5.5,5,374,2019-03-01,01/03/2019,127885,2019,3,1,Chinese
201903,220318,7.635703,8.5,7.15,6.45,374,2019-03-01,01/03/2019,127885,2019,3,1,Indian
201904,220316,8.273,9.99,8,5.9,375,2019-04-01,01/04/2019,128853,2019,4,2,Pizza
201904,220319,5.666589,6,5.5,5,375,2019-04-01,01/04/2019,128853,2019,4,2,Chinese
201904,220318,7.654538,8.5,7.15,6.45,375,2019-04-01,01/04/2019,128853,2019,4,2,Indian
201904,220301,6.367404,7,6.45,5.5,375,2019-04-01,01/04/2019,128853,2019,4,2,Fish and Chips
201905,220319,5.720308,6.2,5.5,5,376,2019-05-01,01/05/2019,128682,2019,5,2,Chinese
201905,220301,6.410882,7,6.475,5.6,376,2019-05-01,01/05/2019,128682,2019,5,2,Fish and Chips
201905,220318,7.622066,8.5,7.15,6.5,376,2019-05-01,01/05/2019,128682,2019,5,2,Indian
201905,220316,8.27,9.99,8,5.9,376,2019-05-01,01/05/2019,128682,2019,5,2,Pizza
201906,220319,5.736391,6.2,5.5,5,377,2019-06-01,01/06/2019,129075,2019,6,2,Chinese
201906,220318,7.64216,8.5,7.15,6.45,377,2019-06-01,01/06/2019,129075,2019,6,2,Indian
201906,220316,8.275969,9.99,8,5.99,377,2019-06-01,01/06/2019,129075,2019,6,2,Pizza
201906,220301,6.448296,7,6.5,5.6,377,2019-06-01,01/06/2019,129075,2019,6,2,Fish and Chips
201907,220301,6.462279,7,6.5,5.725,378,2019-07-01,01/07/2019,128486,2019,7,3,Fish and Chips
201907,220316,8.268333,10.34,8,5.945,378,2019-07-01,01/07/2019,128486,2019,7,3,Pizza
201907,220318,7.64562,8.5,7.16,6.45,378,2019-07-01,01/07/2019,128486,2019,7,3,Indian
201907,220319,5.734887,6.2,5.5,5,378,2019-07-01,01/07/2019,128486,2019,7,3,Chinese
201908,220316,8.315461,9.99,7.99,5.99,379,2019-08-01,01/08/2019,127479,2019,8,3,Pizza
201908,220301,6.478508,7,6.5,5.7,379,2019-08-01,01/08/2019,127479,2019,8,3,Fish and Chips
201908,220319,5.74062,6.2,5.5,5,379,2019-08-01,01/08/2019,127479,2019,8,3,Chinese
201908,220318,7.788276,8.875,7.25,6.5,379,2019-08-01,01/08/2019,127479,2019,8,3,Indian
201909,220319,5.756364,6.2,5.5,5,380,2019-09-01,01/09/2019,127702,2019,9,3,Chinese
201909,220316,8.413258,10.54,8,5.945,380,2019-09-01,01/09/2019,127702,2019,9,3,Pizza
201909,220301,6.480615,7.1,6.5,5.75,380,2019-09-01,01/09/2019,127702,2019,9,3,Fish and Chips
201909,220318,7.739832,8.9,7.16,6.5,380,2019-09-01,01/09/2019,127702,2019,9,3,Indian
201910,220301,6.529328,7.2,6.5,5.8,381,2019-10-01,01/10/2019,127514,2019,10,4,Fish and Chips
201910,220319,5.791395,6.2,5.5,5,381,2019-10-01,01/10/2019,127514,2019,10,4,Chinese
201910,220318,7.716363,8.5,7.16,6.5,381,2019-10-01,01/10/2019,127514,2019,10,4,Indian
201910,220316,8.384412,10.54,7.995,5.945,381,2019-10-01,01/10/2019,127514,2019,10,4,Pizza
201911,220301,6.555746,7.2,6.5,5.8,382,2019-11-01,01/11/2019,127910,2019,11,4,Fish and Chips
201911,220318,7.769339,8.9,7.25,6.5,382,2019-11-01,01/11/2019,127910,2019,11,4,Indian
201911,220319,5.815349,6.2,5.5,5,382,2019-11-01,01/11/2019,127910,2019,11,4,Chinese
201911,220316,8.466591,10.64,7.99,5.99,382,2019-11-01,01/11/2019,127910,2019,11,4,Pizza
201912,220318,7.80758,8.924999,7.3,6.5,383,2019-12-01,01/12/2019,127767,2019,12,4,Indian
201912,220316,8.436047,10.49,7.99,5.99,383,2019-12-01,01/12/2019,127767,2019,12,4,Pizza
201912,220301,6.586045,7.2,6.5,5.8,383,2019-12-01,01/12/2019,127767,2019,12,4,Fish and Chips
201912,220319,5.809923,6.2,5.5,5,383,2019-12-01,01/12/2019,127767,2019,12,4,Chinese
202001,220301,6.620902,7.3,6.5,5.9,384,2020-01-01,01/01/2020,127661,2020,1,1,Fish and Chips
202001,220319,5.849154,6.2,5.6,5,384,2020-01-01,01/01/2020,127661,2020,1,1,Chinese
202001,220318,7.819748,8.5,7.32,6.5,384,2020-01-01,01/01/2020,127661,2020,1,1,Indian
202001,220316,8.419297,10.49,7.99,5.99,384,2020-01-01,01/01/2020,127661,2020,1,1,Pizza
202002,220318,7.922,8.95,7.5,6.5,385,2020-02-01,01/02/2020,126570,2020,2,1,Indian
202002,220301,6.578281,7.225,6.575,5.8,385,2020-02-01,01/02/2020,126570,2020,2,1,Fish and Chips
202002,220316,8.6175,10.795,7.995,5.99,385,2020-02-01,01/02/2020,126570,2020,2,1,Pizza
202002,220319,5.858906,6.2,5.6,5.05,385,2020-02-01,01/02/2020,126570,2020,2,1,Chinese
202003,220316,8.730077,10.99,7.995,5.99,386,2020-03-01,01/03/2020,118933,2020,3,1,Pizza
202003,220301,6.54447,7.2,6.5,5.725,386,2020-03-01,01/03/2020,118933,2020,3,1,Fish and Chips
202003,220319,5.836535,6.2,5.6,5,386,2020-03-01,01/03/2020,118933,2020,3,1,Chinese
202003,220318,7.914833,8.95,7.5,6.5,386,2020-03-01,01/03/2020,118933,2020,3,1,Indian
202004,220316,8.949558,11.09,7.99,5.99,387,2020-04-01,01/04/2020,74251,2020,4,2,Pizza
202004,220319,5.867647,6.25,5.75,5,387,2020-04-01,01/04/2020,74251,2020,4,2,Chinese
202004,220318,8.295349,9.5,7.95,6.95,387,2020-04-01,01/04/2020,74251,2020,4,2,Indian
202004,220301,6.709667,7.5,6.7,5.8,387,2020-04-01,01/04/2020,74251,2020,4,2,Fish and Chips
202005,220318,8.159899,8.95,7.95,6.95,388,2020-05-01,01/05/2020,85259,2020,5,2,Indian
202005,220301,6.475111,7.2,6.3,5.8,388,2020-05-01,01/05/2020,85259,2020,5,2,Fish and Chips
202005,220319,5.77172,6.3,5.7,5.2,388,2020-05-01,01/05/2020,85259,2020,5,2,Chinese
202005,220316,9.85675,12.99,9.29,5.995,388,2020-05-01,01/05/2020,85259,2020,5,2,Pizza
202006,220301,6.718726,7.5,6.7,5.8,389,2020-06-01,01/06/2020,94010,2020,6,2,Fish and Chips
202006,220319,5.873942,6.2,5.75,5.1,389,2020-06-01,01/06/2020,94010,2020,6,2,Chinese
202006,220318,7.894259,8.95,7.75,6.75,389,2020-06-01,01/06/2020,94010,2020,6,2,Indian
202006,220316,9.779043,12.49,9.29,6,389,2020-06-01,01/06/2020,94010,2020,6,2,Pizza
202007,220301,6.849639,7.75,6.8,5.9,390,2020-07-01,01/07/2020,102371,2020,7,3,Fish and Chips
202007,220316,9.930171,12.99,9.29,6.1,390,2020-07-01,01/07/2020,102371,2020,7,3,Pizza
202007,220318,8.10181,8.95,7.75,6.75,390,2020-07-01,01/07/2020,102371,2020,7,3,Indian
202007,220319,5.874018,6.2,5.7,5.1,390,2020-07-01,01/07/2020,102371,2020,7,3,Chinese
202008,220301,6.734368,7.5,6.8,5.9,391,2020-08-01,01/08/2020,112987,2020,8,3,Fish and Chips
202008,220319,5.879246,6.2,5.694,5.2,391,2020-08-01,01/08/2020,112987,2020,8,3,Chinese
202008,220316,8.609062,10.99,7.6,5.5,391,2020-08-01,01/08/2020,112987,2020,8,3,Pizza
202008,220318,7.957885,8.95,7.5,6.5,391,2020-08-01,01/08/2020,112987,2020,8,3,Indian
202009,220316,8.879256,11.79,7.99,5.9,392,2020-09-01,01/09/2020,116062,2020,9,3,Pizza
202009,220319,5.905959,6.2,5.6,5.2,392,2020-09-01,01/09/2020,116062,2020,9,3,Chinese
202009,220318,8.085566,8.95,7.79,6.5,392,2020-09-01,01/09/2020,116062,2020,9,3,Indian
202009,220301,6.775331,7.5,6.8,5.95,392,2020-09-01,01/09/2020,116062,2020,9,3,Fish and Chips
202010,220319,5.880188,6.2,5.6,5.2,393,2020-10-01,01/10/2020,116826,2020,10,4,Chinese
202010,220318,8.143271,9,7.795,6.5,393,2020-10-01,01/10/2020,116826,2020,10,4,Indian
202010,220316,8.757648,10.99,7.7655,5.5,393,2020-10-01,01/10/2020,116826,2020,10,4,Pizza
202010,220301,6.832899,7.6,6.9,5.95,393,2020-10-01,01/10/2020,116826,2020,10,4,Fish and Chips
202011,220301,6.963155,7.75,6.99,6,394,2020-11-01,01/11/2020,82553,2020,11,4,Fish and Chips
202011,220318,8.095886,8.95,7.875,6.75,394,2020-11-01,01/11/2020,82553,2020,11,4,Indian
202011,220319,6.066095,6.5,5.8,5.2,394,2020-11-01,01/11/2020,82553,2020,11,4,Chinese
202011,220316,9.078336,11.79,7.9,5.99,394,2020-11-01,01/11/2020,82553,2020,11,4,Pizza
202012,220319,6.051756,6.5,5.8,5.2,395,2020-12-01,01/12/2020,94790,2020,12,4,Chinese
202012,220301,7.026509,7.8,6.975,6.2,395,2020-12-01,01/12/2020,94790,2020,12,4,Fish and Chips
202012,220316,9.039761,11.79,7.99,5.99,395,2020-12-01,01/12/2020,94790,2020,12,4,Pizza
