YEAR,STATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Total,Wind,Wood and Wood Derived Fuels,Total Renewables ,Including Nuclear
1991,MO,79.72205116,0,1.851003012,1.807368255,16.50172173,0,0,0,0.197016188,-0.079160342,0,100,0,0,1.851003012,18.35272474
1991,MS,33.96991709,0,0,22.10078783,35.29415516,0,0,0,1224.919614,0,0,100,0,7.104074196,7.104074196,42.39822936
1991,MT,57.55064205,0,41.92184694,0.113276477,0,0,0,0,0.068833041,0,0,100,0,0.345401495,42.26724844,42.26724844
1991,NC,56.80226762,0,6.545568012,0.431782684,33.91589223,0.25390241,0.049373829,0,29338.82979,0.242160909,0,100,0,1.450482664,8.045424505,41.96131674
1991,ND,93.31481952,0,6.346597085,0.003396058,0,0,0,0.144986399,0.190200941,0,0,100,0,0,6.346597085,6.346597085
1991,NE,59.09140414,0,4.541979301,1.318793147,34.9893069,0,0,0,-1345900,0,0,100,0,0,4.541979301,39.5312862
1991,NH,22.27675998,0,11.14723288,-7.03E-06,47.73003474,0,0.99450537,0,11.19567416,0,0,100,0,6.6557999,18.79753815,66.52757289
1991,NJ,12.03206343,0,0.049620385,24.33670356,56.99200574,0,1.848909581,0.15517915,75.11703546,-0.356527911,0,100,0,0,1.898529966,58.89053571
1991,NM,87.54645586,0,0.938030295,11.32902184,0,0,0.055892218,0,0.130599795,0,0,100,0,0,0.993922513,0.993922513
1991,NV,74.16985585,4.511211408,10.71845971,9.494455614,0,0.007106211,0,0,1.050865547,0,0,100,0,0,15.22967112,15.22967112
1991,NY,19.80672523,0,20.18723571,17.14260138,21.13535478,0,1.233549662,0.038276233,20.96615927,-0.748339722,0,100,0,0.238437452,21.65922282,42.7945776
1991,OH,87.66444784,0,0.115061199,0.271990098,11.06623146,0,0.242081826,0.042758503,2.322555227,0,0,100,0,0.278305542,0.635448567,11.70168003
1991,OK,57.85162898,0,3.91480971,37.5095768,0,0,0,0.217152581,0.093828571,-0.13310219,0,100,0,0.546105544,4.460915254,4.460915254
1991,OR,5.931511401,0,86.60224076,2.57805219,3.088568718,0,0.192703581,0,0.521601659,0,0,100,0.001136055,1.582602501,88.3786829,91.46725162
1991,PA,61.37254713,0,1.111558166,1.220685304,33.26856318,0.062149986,0.388292707,0.417364953,2.388166997,-0.557495889,0,100,0,0.328167464,1.828018337,35.09658152
1991,RI,0,0,0.339939005,93.95888809,0,0,2.466147086,0,8.750725752,0,0,100,0,0,2.806086091,2.806086091
1991,SC,33.0026776,0,4.310498335,1.498525762,59.72301028,0.011007203,0.082309496,0.00806456,0.250608177,-0.795590114,0,100,0,1.908888704,6.301696535,66.02470682
1991,SD,41.491337,0,58.24297173,0.13747846,0,0,0,0,4.272026767,0,0,100,0,0,58.24297173,58.24297173
1991,TN,63.30877616,0,14.27030263,0.258895833,21.76943582,0.051088813,0.047713166,0.004138186,0.226090899,-0.493928521,0,100,0,0.557487015,14.87550281,36.64493863
1991,TX,42.20500691,0,0.776932574,47.65253682,6.915082717,0.246500257,0.115262281,1.159693355,0.391294246,0,0.000129571,100,0,0.407428584,1.29975301,8.214835727
