State,SourceX,SourceY,Correlation
AR,Coal,Pumped Storage,0.16178736976166755
AR,Coal,Solar,-0.2027054603686889
AR,Coal,Wood Fuels,0.31147689803972994
AR,Hydro,Coal,-0.472921572634861
AR,Hydro,Hydro,1.0
AR,Hydro,Natural Gas,0.14520209089711764
AR,Hydro,Nuclear,0.033097422169428826
AR,Hydro,Other,-0.08584140930431493
AR,Hydro,Other Biomass,0.04933249959462047
AR,Hydro,Other Gases,-0.04312205900189549
AR,Hydro,Petroleum,-0.24922929588792075
AR,Hydro,Pumped Storage,0.3616142308212588
AR,Hydro,Solar,0.3539576720013813
AR,Hydro,Wood Fuels,-0.46435110761613796
AR,Natural Gas,Coal,0.27029807385787047
AR,Natural Gas,Hydro,0.14520209089711764
AR,Natural Gas,Natural Gas,1.0
AR,Natural Gas,Nuclear,0.18333327843545946
AR,Natural Gas,Other,-0.06343476525346524
AR,Natural Gas,Other Biomass,0.7960360294733472
AR,Natural Gas,Other Gases,-0.2765473452230288
AR,Natural Gas,Petroleum,-0.3894607217403841
AR,Natural Gas,Pumped Storage,0.6498674875379957
AR,Natural Gas,Solar,0.6505346855189202
AR,Natural Gas,Wood Fuels,-0.6017765387151683
AR,Nuclear,Coal,0.1777447202142942
AR,Nuclear,Hydro,0.033097422169428826
AR,Nuclear,Natural Gas,0.18333327843545946
AR,Nuclear,Nuclear,1.0
AR,Nuclear,Other,0.3536289426010579
AR,Nuclear,Other Biomass,0.17271857687803877
AR,Nuclear,Other Gases,-0.04192954215072824
AR,Nuclear,Petroleum,0.2551641755784732
AR,Nuclear,Pumped Storage,0.24313155583379176
AR,Nuclear,Solar,0.0060482841271387675
AR,Nuclear,Wood Fuels,0.20328065503617018
AR,Other,Coal,0.12370724254300844
AR,Other,Hydro,-0.08584140930431493
AR,Other,Natural Gas,-0.06343476525346524
AR,Other,Nuclear,0.3536289426010579
AR,Other,Other,1.0
AR,Other,Other Biomass,0.02860895012574753
AR,Other,Other Gases,-0.16645975391618636
AR,Other,Petroleum,0.12261053108416153
AR,Other,Pumped Storage,-0.09287566873959056
AR,Other,Solar,-0.14224398364976118
AR,Other,Wood Fuels,0.31179712264457277
AR,Other Biomass,Coal,0.4146402927539226
AR,Other Biomass,Hydro,0.04933249959462047
AR,Other Biomass,Natural Gas,0.7960360294733472
AR,Other Biomass,Nuclear,0.17271857687803877
AR,Other Biomass,Other,0.02860895012574753
AR,Other Biomass,Other Biomass,1.0
AR,Other Biomass,Other Gases,-0.36001734460932905
AR,Other Biomass,Petroleum,-0.35690093053440713
AR,Other Biomass,Pumped Storage,0.5515671659071669
AR,Other Biomass,Solar,0.2813366945407941
AR,Other Biomass,Wood Fuels,-0.3411217743184474
AR,Other Gases,Coal,-0.05926985178738369
AR,Other Gases,Hydro,-0.04312205900189549
AR,Other Gases,Natural Gas,-0.2765473452230288
AR,Other Gases,Nuclear,-0.04192954215072824
AR,Other Gases,Other,-0.16645975391618636
AR,Other Gases,Other Biomass,-0.36001734460932905
AR,Other Gases,Other Gases,1.0
AR,Other Gases,Petroleum,-0.014404488718041444
AR,Other Gases,Pumped Storage,-0.29610368658207536
AR,Other Gases,Solar,-0.11561714616267939
AR,Other Gases,Wood Fuels,0.15799057583561943
AR,Petroleum,Coal,-0.01029106489427401
AR,Petroleum,Hydro,-0.24922929588792075
AR,Petroleum,Natural Gas,-0.3894607217403841
AR,Petroleum,Nuclear,0.2551641755784732
AR,Petroleum,Other,0.12261053108416153
AR,Petroleum,Other Biomass,-0.35690093053440713
AR,Petroleum,Other Gases,-0.014404488718041444
AR,Petroleum,Petroleum,1.0
AR,Petroleum,Pumped Storage,-0.2944618149539444
AR,Petroleum,Solar,-0.18572367582489263
AR,Petroleum,Wood Fuels,0.33658783693504896
AR,Pumped Storage,Coal,0.16178736976166755
AR,Pumped Storage,Hydro,0.3616142308212588
AR,Pumped Storage,Natural Gas,0.6498674875379957
AR,Pumped Storage,Nuclear,0.24313155583379176
AR,Pumped Storage,Other,-0.09287566873959056
AR,Pumped Storage,Other Biomass,0.5515671659071669
AR,Pumped Storage,Other Gases,-0.29610368658207536
AR,Pumped Storage,Petroleum,-0.2944618149539444
AR,Pumped Storage,Pumped Storage,1.0
AR,Pumped Storage,Solar,0.535294602915789
AR,Pumped Storage,Wood Fuels,-0.571664410768078
AR,Solar,Coal,-0.2027054603686889
AR,Solar,Hydro,0.3539576720013813
AR,Solar,Natural Gas,0.6505346855189202
AR,Solar,Nuclear,0.0060482841271387675
AR,Solar,Other,-0.14224398364976118
AR,Solar,Other Biomass,0.2813366945407941
AR,Solar,Other Gases,-0.11561714616267939
AR,Solar,Petroleum,-0.18572367582489263
AR,Solar,Pumped Storage,0.535294602915789
AR,Solar,Solar,1.0
AR,Solar,Wood Fuels,-0.816426251356526
AR,Wood Fuels,Coal,0.31147689803972994
AR,Wood Fuels,Hydro,-0.46435110761613796
AR,Wood Fuels,Natural Gas,-0.6017765387151683
AR,Wood Fuels,Nuclear,0.20328065503617018
AR,Wood Fuels,Other,0.31179712264457277
AR,Wood Fuels,Other Biomass,-0.3411217743184474
AR,Wood Fuels,Other Gases,0.15799057583561943
AR,Wood Fuels,Petroleum,0.33658783693504896
AR,Wood Fuels,Pumped Storage,-0.571664410768078
AR,Wood Fuels,Solar,-0.816426251356526
AR,Wood Fuels,Wood Fuels,1.0
AZ,Coal,Coal,1.0
AZ,Coal,Hydro,0.1114471118430227
AZ,Coal,Natural Gas,-0.2702525758441944
AZ,Coal,Nuclear,-0.13267003469461433
AZ,Coal,Other,0.12502102939764348
AZ,Coal,Other Biomass,0.28357098753530297
AZ,Coal,Petroleum,0.13062891896257653
AZ,Coal,Pumped Storage,0.14587379045889495
AZ,Coal,Solar,-0.71776968865061
AZ,Coal,Wind,-0.631715161248907
AZ,Coal,Wood Fuels,-0.5065203811546071
AZ,Hydro,Coal,0.1114471118430227
AZ,Hydro,Hydro,1.0
AZ,Hydro,Natural Gas,-0.5814446952246795
AZ,Hydro,Nuclear,0.012355029663457723
AZ,Hydro,Other,-0.06782527940164464
AZ,Hydro,Other Biomass,-0.47349257919185744
AZ,Hydro,Petroleum,0.10159997888918981
AZ,Hydro,Pumped Storage,0.5104938454657094
AZ,Hydro,Solar,-0.3960805968675206
AZ,Hydro,Wind,-0.3848771925292729
AZ,Hydro,Wood Fuels,-0.3747774775366301
AZ,Natural Gas,Coal,-0.2702525758441944
