Year,Name,State,Source,Percent
1991,Florida,FL,Biomass,3.11725234
1991,Florida,FL,Total Renewable,3.305942806
1991,New York,NY,Coal,19.80672523
1991,New York,NY,Hydro,20.18723571
1991,New York,NY,Natural Gas,17.14260138
1991,New York,NY,Nuclear,21.13535478
1991,New York,NY,Petroleum,20.96615927
1991,New York,NY,Biomass,1.471987114
1991,New York,NY,Total Renewable,21.65922282
1991,Maine,ME,Coal,4.946501781
1991,Maine,ME,Hydro,22.00794902
1991,Maine,ME,Natural Gas,0.283088004
1991,Maine,ME,Nuclear,36.1167159
1991,Maine,ME,Petroleum,12.40839392
1991,Maine,ME,Biomass,24.23735137
1991,Maine,ME,Total Renewable,46.24530039
1991,New Hampshire,NH,Coal,22.27675998
1991,New Hampshire,NH,Hydro,11.14723288
1991,New Hampshire,NH,Natural Gas,-7.03E-06
1991,New Hampshire,NH,Nuclear,47.73003474
1991,New Hampshire,NH,Petroleum,11.19567416
1991,New Hampshire,NH,Biomass,7.65030527
1991,New Hampshire,NH,Total Renewable,18.79753815
1991,Maryland,MD,Coal,57.3027966
1991,Maryland,MD,Hydro,3.531382139
1991,Maryland,MD,Natural Gas,3.807852794
1991,Maryland,MD,Nuclear,22.67477931
1991,Maryland,MD,Petroleum,10.23441789
1991,Maryland,MD,Biomass,1.247533179
1991,Maryland,MD,Total Renewable,4.778915318
1991,Alaska,AK,Coal,9.657339715
1991,Alaska,AK,Hydro,16.62600365
1991,Alaska,AK,Natural Gas,61.5862881
1991,Alaska,AK,Petroleum,9.525814182
1991,Alaska,AK,Biomass,2.604554357
1991,Alaska,AK,Total Renewable,19.23055801
1991,New Jersey,NJ,Coal,12.03206343
1991,New Jersey,NJ,Hydro,0.049620385
1991,New Jersey,NJ,Natural Gas,24.33670356
1991,New Jersey,NJ,Nuclear,56.99200574
1991,New Jersey,NJ,Petroleum,4.942046065
1991,New Jersey,NJ,Biomass,1.848909581
1991,New Jersey,NJ,Total Renewable,1.898529966
1991,Virginia,VA,Coal,45.35319185
1991,Virginia,VA,Hydro,1.97345675
1991,Virginia,VA,Natural Gas,3.162645082
1991,Virginia,VA,Nuclear,43.6445522
1991,Virginia,VA,Petroleum,4.301178455
1991,Virginia,VA,Solar,6.03E-05
1991,Virginia,VA,Biomass,3.460917881
1991,Virginia,VA,Total Renewable,5.434434928
1991,Rhode Island,RI,Hydro,0.339939005
1991,Rhode Island,RI,Natural Gas,93.95888809
1991,Rhode Island,RI,Petroleum,3.235025817
1991,Rhode Island,RI,Biomass,2.466147086
1991,Rhode Island,RI,Total Renewable,2.806086091
1991,Pennsylvania,PA,Coal,61.37254713
1991,Pennsylvania,PA,Hydro,1.111558166
1991,Pennsylvania,PA,Natural Gas,1.220685304
1991,Pennsylvania,PA,Nuclear,33.26856318
1991,Pennsylvania,PA,Petroleum,2.388166997
1991,Pennsylvania,PA,Biomass,0.716460171
1991,Pennsylvania,PA,Total Renewable,1.828018337
1991,Mississippi,MS,Coal,33.96991709
1991,Mississippi,MS,Natural Gas,22.10078783
1991,Mississippi,MS,Nuclear,35.29415516
1991,Mississippi,MS,Petroleum,1.531065731
1991,Mississippi,MS,Biomass,7.104074196
1991,Mississippi,MS,Total Renewable,7.104074196
1991,Minnesota,MN,Coal,63.5710222
1991,Minnesota,MN,Hydro,2.461524002
1991,Minnesota,MN,Natural Gas,1.908140846
1991,Minnesota,MN,Nuclear,28.62200588
1991,Minnesota,MN,Petroleum,1.385397029
1991,Minnesota,MN,Wind,0.000562516
1991,Minnesota,MN,Biomass,2.051347536
1991,Minnesota,MN,Total Renewable,4.513434053
1991,Illinois,IL,Coal,42.2647836
1991,Illinois,IL,Hydro,0.103210651
1991,Illinois,IL,Natural Gas,1.332472637
1991,Illinois,IL,Nuclear,55.16519081
1991,Illinois,IL,Petroleum,0.698610306
1991,Illinois,IL,Biomass,0.139909358
1991,Illinois,IL,Total Renewable,0.24312001
1991,Michigan,MI,Coal,63.10568679
1991,Michigan,MI,Hydro,1.652858094
1991,Michigan,MI,Natural Gas,8.019653188
1991,Michigan,MI,Nuclear,25.49697332
1991,Michigan,MI,Petroleum,0.621417869
1991,Michigan,MI,Biomass,1.622135716
1991,Michigan,MI,Total Renewable,3.274993809
1991,Georgia,GA,Coal,63.46270665
1991,Georgia,GA,Hydro,4.400457754
1991,Georgia,GA,Natural Gas,0.842050156
1991,Georgia,GA,Nuclear,27.05123846
1991,Georgia,GA,Petroleum,0.562560452
1991,Georgia,GA,Biomass,3.231045893
1991,Georgia,GA,Total Renewable,7.631503647
1991,Texas,TX,Coal,42.20500691
1991,Texas,TX,Hydro,0.776932574
1991,Texas,TX,Natural Gas,47.65253682
1991,Texas,TX,Nuclear,6.915082717
1991,Texas,TX,Petroleum,0.521426933
1991,Texas,TX,Solar,0.000129571
1991,Texas,TX,Biomass,0.522690865
1991,Texas,TX,Total Renewable,1.29975301
1991,Indiana,IN,Coal,95.56382195
1991,Indiana,IN,Hydro,0.391298212
1991,Indiana,IN,Natural Gas,1.426485066
1991,Indiana,IN,Petroleum,0.519068697
1991,Indiana,IN,Biomass,0.032470659
1991,Indiana,IN,Total Renewable,0.423768872
1991,West Virginia,WV,Coal,97.88089369
1991,West Virginia,WV,Hydro,1.451008996
1991,West Virginia,WV,Natural Gas,0.080093991
1991,West Virginia,WV,Petroleum,0.344639237
1991,West Virginia,WV,Total Renewable,1.451008996
1991,Wisconsin,WI,Coal,69.87295169
1991,Wisconsin,WI,Hydro,5.098864214
1991,Wisconsin,WI,Natural Gas,0.773126473
1991,Wisconsin,WI,Nuclear,22.26933883
1991,Wisconsin,WI,Petroleum,0.332767136
1991,Wisconsin,WI,Wind,1.22E-05
1991,Wisconsin,WI,Biomass,1.652939496
1991,Wisconsin,WI,Total Renewable,6.751815867
1991,Ohio,OH,Coal,87.66444784
1991,Ohio,OH,Hydro,0.115061199
1991,Ohio,OH,Natural Gas,0.271990098
1991,Ohio,OH,Nuclear,11.06623146
1991,Ohio,OH,Petroleum,0.319123529
1991,Ohio,OH,Biomass,0.520387368
1991,Ohio,OH,Total Renewable,0.635448567
1991,North Carolina,NC,Coal,56.80226762
1991,North Carolina,NC,Hydro,6.545568012
1991,North Carolina,NC,Natural Gas,0.431782684
1991,North Carolina,NC,Nuclear,33.91589223
1991,North Carolina,NC,Petroleum,0.308569649
1991,North Carolina,NC,Biomass,1.499856493
1991,North Carolina,NC,Total Renewable,8.045424505
1991,South Carolina,SC,Coal,33.0026776
1991,South Carolina,SC,Hydro,4.310498335
1991,South Carolina,SC,Natural Gas,1.498525762
1991,South Carolina,SC,Nuclear,59.72301028
1991,South Carolina,SC,Petroleum,0.250608177
1991,South Carolina,SC,Biomass,1.9911982
