,Year,State,Source,Percentage
245,1990,KS,Percentage Other,0.0
246,1990,KS,Percentage Other Biomass,0.0
247,1990,KS,Percentage Other Gases,0.0
248,1990,KS,Percentage Petroleum,0.21654617423147332
249,1990,KS,Percentage Solar,0.0
250,1990,KS,Percentage Total,100.0
251,1990,KS,Percentage Wind,0.0001316372334101032
252,1990,KS,Percentage Wood Fuels,0.0
253,1990,KS,Percentage Total Renewable,0.03884468494339467
254,1990,KS,Percentage Renewable Including Nuclear,23.07385986725058
255,1990,KY,Percentage Coal,95.51964964542931
256,1990,KY,Percentage Geothermal,0.0
257,1990,KY,Percentage Hydro,4.281939048673325
258,1990,KY,Percentage Natural Gas,0.03766023858403356
259,1990,KY,Percentage Nuclear,0.0
260,1990,KY,Percentage Other,0.0
261,1990,KY,Percentage Other Biomass,0.0
262,1990,KY,Percentage Other Gases,0.0
263,1990,KY,Percentage Petroleum,0.1607510673133273
264,1990,KY,Percentage Solar,0.0
265,1990,KY,Percentage Total,100.0
266,1990,KY,Percentage Wind,0.0
267,1990,KY,Percentage Wood Fuels,0.0
268,1990,KY,Percentage Total Renewable,4.281939048673325
269,1990,KY,Percentage Renewable Including Nuclear,4.281939048673325
270,1990,LA,Percentage Coal,23.352566375245974
271,1990,LA,Percentage Geothermal,0.0
272,1990,LA,Percentage Hydro,0.8585452052118057
273,1990,LA,Percentage Natural Gas,51.624325857251165
274,1990,LA,Percentage Nuclear,18.56622903649653
275,1990,LA,Percentage Other,1.690719085162837
276,1990,LA,Percentage Other Biomass,0.11985254028509279
277,1990,LA,Percentage Other Gases,0.576337368828322
278,1990,LA,Percentage Petroleum,0.3035324498078418
279,1990,LA,Percentage Solar,0.0
280,1990,LA,Percentage Total,100.0
281,1990,LA,Percentage Wind,0.0
282,1990,LA,Percentage Wood Fuels,2.9078920817104366
283,1990,LA,Percentage Total Renewable,3.886289827207335
284,1990,LA,Percentage Renewable Including Nuclear,22.45251886370386
285,1990,MA,Percentage Coal,28.54962161096587
286,1990,MA,Percentage Geothermal,0.0
