Year,Name,State,Percentage Coal,Percentage Geothermal,Percentage Hydro,Percentage Natural Gas,Percentage Nuclear,Percentage Other,Percentage Other Biomass,Percentage Other Gases,Percentage Petroleum,Percentage Solar,Percentage Total,Percentage Wind,Percentage Wood Fuels,Percentage Total Renewable,Percentage Renewable Including Nuclear,co2 per cap
1991,New Jersey,NJ,12.03206343,,0.049620385,24.33670356,56.99200574,,1.848909581,0.15517915,4.942046065,,100,,,1.898529966,58.8905357,14.2
1991,New Mexico,NM,87.54645586,,0.938030295,11.32902184,,,0.055892218,,0.130599795,,100,,,0.993922513,0.993922513,31.0
1991,Nevada,NV,74.16985585,4.511211408,10.71845971,9.494455614,,0.007106211,,,1.098911209,,100,,,15.22967111,15.22967111,25.2
1991,New York,NY,19.80672523,,20.18723571,17.14260138,21.13535478,,1.233549662,0.038276233,20.96615927,,100,,0.238437452,21.65922282,42.7945776,11.0
1991,Ohio,OH,87.66444784,,0.115061199,0.271990098,11.06623146,,0.242081826,0.042758503,0.319123529,,100,,0.278305542,0.635448567,11.70168003,22.4
1991,Oklahoma,OK,57.85162898,,3.91480971,37.5095768,,,,0.217152581,0.093828571,,100,,0.546105544,4.460915254,4.460915254,28.1
1991,Oregon,OR,5.931511401,,86.60224076,2.57805219,3.088568718,,0.192703581,,0.023184794,,100,0.001136055,1.582602501,88.3786829,91.46725161,11.8
1991,Pennsylvania,PA,61.37254713,,1.111558166,1.220685304,33.26856318,0.062149986,0.388292707,0.417364953,2.388166997,,100,,0.328167464,1.828018337,35.09658152,21.5
1991,Rhode Island,RI,,,0.339939005,93.95888809,,,2.466147086,,3.235025817,,100,,,2.806086091,2.806086091,10.6
1991,South Carolina,SC,33.0026776,,4.310498335,1.498525762,59.72301028,0.011007203,0.082309496,0.00806456,0.250608177,,100,,1.908888704,6.301696535,66.02470681,17.4
1991,South Dakota,SD,41.491337,,58.24297173,0.13747846,,,,,0.128212813,,100,,,58.24297173,58.24297173,16.4
1991,Tennessee,TN,63.30877616,,14.27030263,0.258895833,21.76943582,0.051088813,0.047713166,0.004138186,0.226090899,,100,,0.557487015,14.87550281,36.64493863,20.3
1991,Texas,TX,42.20500691,,0.776932574,47.65253682,6.915082717,0.246500257,0.115262281,1.159693355,0.521426933,0.000129571,100,,0.407428584,1.29975301,8.214835726,32.4
1991,US_TOTAL,US_TOTAL,51.74778206,0.519436847,9.401857435,12.41307682,19.92860008,0.15416913,0.509621696,0.368781219,3.895881854,0.015347946,100,0.096003386,1.097188179,11.63945549,31.56805557,19.7
1991,Utah,UT,94.69510592,0.610508011,2.055224978,1.802877122,,,,0.668073913,0.168210051,,100,,,2.66573299,2.66573299,30.0
1991,Virginia,VA,45.35319185,,1.97345675,3.162645082,43.6445522,,1.281090091,,4.301178455,6.03e-05,100,,2.17982779,5.434434928,49.07898713,15.3
1991,Vermont,VT,,,19.53826894,1.769511237,76.24954412,,,,0.097327665,,100,,2.345348029,21.88361697,98.1331611,10.0
1991,Washington,WA,7.723083111,,86.84933305,0.447576052,4.111835221,2.92e-06,0.045331725,0.094747222,0.030294381,,100,,0.697796324,87.5924611,91.70429632,14.3
1991,Wisconsin,WI,69.87295169,,5.098864214,0.773126473,22.26933883,,0.274912825,,0.332767136,,100,1.22e-05,1.378026671,6.751815867,29.0211547,17.7
1991,West Virginia,WV,97.88089369,,1.451008996,0.080093991,,0.000269668,,0.243094416,0.344639237,,100,,,1.451008996,1.451008996,53.3
1991,Wyoming,WY,96.90307144,,1.872677322,0.818768953,,0.120847196,,,0.156283764,,100,,0.128351321,2.001028643,2.001028643,120.9
1992,Alaska,AK,9.357405145,,17.32817155,60.66577533,,,0.307544281,,9.851042499,,100,,2.490061196,20.12577702,20.12577702,60.8
1992,Alabama,AL,64.2211815,,10.77343967,1.465922689,20.36809338,,0.030230666,0.345169313,0.204617192,,100,,2.591345596,13.39501593,33.76310931,29.1
1992,Arkansas,AR,50.55489594,,8.497072455,8.621303508,28.49502395,,0.037696779,,0.132511111,,100,,3.654723265,12.1894925,40.68451645,21.3
1992,Arizona,AZ,49.34903225,,9.384126286,4.217221823,36.29725893,,,,0.144452248,,100,,0.196209283,9.580335569,45.8775945,17.1
1992,California,CA,1.862494116,8.338149489,11.38401837,50.07172091,19.89458084,0.005763864,1.571137585,1.532376149,1.099903447,0.225372677,100,1.616658621,2.400361256,25.535698,45.43027884,11.4
1992,Colorado,CO,90.8463819,,4.502597799,4.046157603,,,0.084615063,,0.122803419,,100,,,4.587212863,4.587212863,19.7
1992,Connecticut,CT,12.72790262,,1.450506618,5.038532928,57.41155673,,4.577589282,0.009650349,18.77296109,,100,,,6.0280959,63.43965263,12.1
1992,District of Columbia,DC,,,,,,,,,100.0,,100,,,,,7.3
1992,Delaware,DE,57.32699911,,,8.9912568,,0.090417272,,2.360742725,31.23058409,,100,,,,,25.6
1992,Florida,FL,43.61587085,,0.163867493,13.85450815,17.46867094,1.357557926,2.031455028,0.010556615,19.9042667,,100,,1.593246292,3.788568813,21.25723975,14.0
1992,Georgia,GA,60.83507743,,5.048692905,0.74907895,28.75596474,,0.089426442,,0.835476373,,100,,3.190096032,8.328215379,37.08418012,19.2
1992,Hawaii,HI,5.654225254,0.021677164,0.620887218,,,,8.177613787,0.633869137,84.65880458,,100,0.230342728,0.002580131,9.053101028,9.053101028,17.6
1992,Iowa,IA,84.47740653,,3.277920428,0.882092153,11.16553153,,0.065609889,,0.131439473,,100,,,3.343530317,14.50906185,22.7
1992,Idaho,ID,0.59454611,,89.15949931,1.843078203,,0.965187745,0.115489688,,0.030992882,,100,,7.291206061,96.56619506,96.56619506,10.5
1992,Illinois,IL,40.15470959,,0.108795083,1.330454654,57.59038915,,0.158063227,0.315571967,0.341980398,,100,,3.59e-05,0.266894234,57.85728339,16.2
1992,Indiana,IN,95.64269791,,0.556804589,1.172316209,,,0.033133514,2.111904897,0.483142881,,100,,,0.589938103,0.589938103,35.2
